ATP5F1A,HSP90AA1,PRDX1,ST13,PROZ,CBR1,PRDX5,BHMT,DCP1B,ANXA4,HSP90AB1,CNDP2,TPM3,PAM,HSPB1,RAD23B,GSPT2,ARPC5,KRT8,KRT7,CORO1C,NDN,CALD1
1264.587759,16614.36154,5387.739559,6880.625964,72208.64585,4081.801272,3453.42663,90303.56187,441.2191053,3708.56867,15447.02658,6804.936338,2377.008888,4561.479874,14618.11467,1085.722272,484.871212,1346.849752,9084.371966,201.7430128,772.0605602,8363.643824,124.8881136
4643.52493,2687.240084,7002.506549,4297.334902,7082.078289,4314.665568,4736.883413,53511.16944,281.51115,887.1382901,2476.946967,7453.846655,17122.53823,2284.50147,11379.80377,1779.843416,307.6344655,183.7761551,15596.66657,1360.611677,1763.899961,19777.34037,385.700379
283.3921227,5170.388068,30695.92141,1661.892377,79979.32973,21280.21813,22554.97663,166241.3616,11971.29296,5706.302814,5170.388068,8119.690374,158034.1233,7633.369249,22605.58236,0,1491.857103,9120.671836,3504.953289,0,3329.857442,5257.429934,7359.086159
213.8449661,18390.79007,28678.37796,1077.086014,39556.35378,4463.362759,10955.88978,60215.71575,1581.690564,1428.379626,16200.85543,2600.774095,41279.59761,7968.138079,19721.64963,7931.423725,2645.283011,2219.463758,4935.684069,0,2626.478486,62957.85181,18979.76088
319.0364258,9794.023295,5987.389855,628.0918166,17710.13497,4359.677171,4573.288005,140595.6625,1574.610837,1518.233861,9358.391228,3367.747112,22679.04323,2463.398598,10169.70958,0,0,2631.355935,666.1706763,0,148.0379281,382.7476346,2016.440336
567.0407362,4836.227435,8885.038301,1942.219529,35791.89129,3637.461315,4006.247809,32230.03541,883.463468,1506.788248,4052.171108,1963.221038,11732.56287,2235.960631,9005.726971,1943.059589,947.3080546,793.0169703,7164.594704,676.5286018,767.2551196,75436.01932,3083.581524
448.2881514,28276.2464,12300.51873,1109.582941,38845.6977,3406.247611,4631.621539,49082.66407,1181.16441,815.0429017,25074.99455,4958.415662,24565.7941,3637.622201,15636.82815,4546.565907,1836.079287,1320.107632,20495.56956,2280.319771,841.7968977,93602.95297,8098.695861
2347.278292,26253.10758,31363.61952,10589.77174,16087.0168,5447.484132,12973.00741,125714.414,2073.433211,2159.150193,23507.66393,6788.891624,34666.271,4857.206838,67429.58365,5006.486962,2983.699662,3694.093443,35832.65112,2567.995521,3212.663096,101523.0056,9695.842821
1255.303413,30851.87284,8144.643934,0,22827.0913,6481.488241,5484.744378,28790.41531,672.5677187,3155.105851,28245.56974,8847.595799,17814.64377,3396.965179,38048.61619,4014.800311,0,0,5885.820612,618.8948269,1601.978326,78568.32308,0
4335.338797,11402.59499,26874.11101,2126.794102,11401.32663,6994.450608,9463.009986,216175.348,7290.783256,1398.856782,10554.33275,10146.89067,83468.14079,3712.32691,122512.2831,591.4221456,1629.098346,4175.70606,15939.03636,1061.824626,1606.806454,5947.987614,7358.356906
1432.735416,123300.9479,54636.38039,6377.795367,21142.9468,9669.240555,12130.24966,233546.9456,2028.235399,2775.583281,109226.7516,22753.61356,47205.60482,3742.165495,141905.4666,7227.717173,6229.069415,7795.384775,13165.23307,796.2493408,2506.075089,66836.68637,12060.52297
2077.368667,5837.715789,16480.17135,3722.77255,7012.072035,6168.974251,23221.83418,29713.22117,3726.354221,1098.423919,5379.198822,3387.079748,66484.09694,6040.361494,42420.94912,10391.25566,4201.75122,2696.549833,33714.28036,2278.13856,8473.867015,93986.49645,17416.50401
665.9002556,4182.232347,3727.977323,4309.541287,11093.98713,2559.484327,8900.676523,16225.01188,1740.395481,1274.773738,3889.432415,3946.819091,24284.03617,3056.131591,13704.35495,3608.110243,1777.133457,2075.674146,15018.15258,626.2765237,7711.628395,55144.66489,4366.534258
735.3586938,19101.76052,22511.32052,5174.502277,44308.18847,5300.754506,11304.56965,56133.89404,2832.313867,1733.006054,16730.78694,6302.658221,47207.08119,4384.094039,25971.04432,7648.200325,6294.047839,3472.809776,11507.03193,744.3407287,5665.93632,195333.6787,15020.57767
1028.076093,51563.26957,27461.8614,3612.180468,23714.86797,6330.868924,14412.62924,65145.31817,1564.90582,2690.096834,45848.74375,6366.744721,25108.99054,4408.671567,52408.19187,8000.215176,5173.50329,2077.845669,18764.09504,2750.391687,1660.636736,66588.90267,6230.955442
2423.750928,32279.48095,31001.53265,3957.864185,27679.55389,5607.04073,21079.98249,86940.511,3236.652062,2388.637719,29101.13532,8321.448095,52729.54294,5723.772759,100052.826,10368.47455,6556.428666,3690.696102,43903.07637,2637.931309,2190.717056,154835.9488,17493.52387
8229.865929,84383.4668,6609.210108,3323.119454,25488.73094,2975.220967,5998.665487,97258.29421,2251.006544,3143.142266,82796.39524,13125.41765,27840.49027,4075.751328,108930.1162,645.8511506,1128.086676,5224.505241,25614.45663,2071.890491,848.2178445,1134.11462,4670.795521
1395.935437,105183.2355,42269.16701,6498.527558,27967.46818,4730.548181,14327.36995,223979.1827,3414.665285,2419.872337,94654.54544,25316.23939,84927.66378,6454.497987,202619.5415,17188.03532,11431.91934,5200.82059,39858.70084,2409.014826,3835.716453,197002.797,14097.96611
30556.98587,238659.3186,11352.76526,6096.725259,13264.79603,10605.42515,18045.27459,18054.05331,466.6257391,25009.19681,231854.6738,29409.83942,42943.35404,5586.76529,188377.2931,3137.212096,342.3753319,39.73587687,201633.2703,24624.13144,1680.863292,5545.843379,113.3926242
103.9635878,10079.14418,121.6106161,258.6703309,627.0452211,212.4305747,128.1075016,766.8088567,198.9040469,646.9522397,8605.437519,2023.01934,2176.711692,253.6895626,9283.684275,3196.670381,595.6830251,23.26892108,4823.776403,805.0786813,619.971429,2075.487872,503.8510591
2550.405144,16437.80911,422.4446108,882.8889892,29503.39673,2574.921264,5996.35863,46884.78507,3754.305219,1337.181582,14555.26709,3425.096984,39760.71408,4547.712254,63705.57345,11138.24131,4571.879372,1114.841026,37717.83091,3442.768201,1958.289242,230594.0348,6563.888783
78.59613406,1802.091107,1133.830964,460.0843855,539.059122,595.6257631,3655.233024,2020.349114,785.52184,256.7520081,1217.155963,1811.747832,8720.249452,273.439832,17507.30877,6141.342077,439.8524141,87.33482904,8654.086371,262.7037606,1554.009737,4118.55052,1798.071764
1215.047595,58927.65493,11293.27446,1125.979725,5116.389083,2555.470879,13014.87564,8412.807766,923.8288537,2633.764483,51918.33838,12320.85673,17937.78631,1911.396438,99590.37504,8749.906064,4347.681209,1132.791462,263624.2484,23662.20907,5148.553388,10565.70096,2436.573406
6964.6532,297466.4054,90605.76939,4793.735331,34813.8764,18895.48006,113846.4881,69283.21765,2490.143513,9282.814157,268854.0807,36374.66409,42758.71839,8993.297023,346539.7399,34620.68814,24294.02669,13225.4678,1180593.587,116542.6816,2572.766815,109278.9774,7891.504544
6290.562974,187581.089,10175.00725,4974.705002,46377.41583,8116.556871,112235.4656,73679.73865,8850.118145,5092.957781,182204.4094,12758.04455,118499.4312,6968.527022,264163.2271,0,4001.756161,12581.19585,68459.96172,3462.389842,5203.448021,5712.976006,846.859678
